ID,vreme,domaci,gosti,I 12,I X
Betole119,2025-07-13 19:00:00,Azuriz FC,Joinville,2.02,1.62
Volcano111,2025-07-13 19:00:00,Azuriz FC PR,Joinville,1.0,1.0
Superbet121,2025-07-13 19:00:00,Azuriz,Joinville,1.0,1.0
Balkan121,2025-07-13 19:00:00,Azuriz FC PR,Joinville EC SC,1.0,1.65
Soccer98,2025-07-13 19:00:00,Azuriz,Joinville,1.0,1.68
Planetwin43,2025-07-13 19:00:00,Azuriz,Joinville,2.12,1.59
Mystake166,2025-07-13 19:00:00,Azuniz,Joinville EC  ,1.0,1.0
Mozzart79,2025-07-13 19:00:00,Azuriz,Joinville ,1.7,1.93
Oktagon120,2025-07-13 19:00:00,Azuriz FC,Joinville,2.02,1.65
