ID,vreme,domaci,gosti,1&3+,ne1&3+
Oktagon2,2025-06-25 15:30:00,Plzen,Ceske Budejovice,1.17,1.0
Soccer1,2025-06-25 15:30:00,Plzen,Ceske Budejovice,1.4,1.0
Pinbet1,2025-06-25 15:30:00,Plzen,Ceske Budejovice,1.0,1.0
Betole1,2025-06-25 15:30:00,Plzen,Ceske Budejovice,1.17,4.05
Mozzart0,2025-06-25 15:30:00,Plzen,Budejovice,1.0,1.0
