ID,vreme,domaci,gosti,W1,W2
Balkan11,2025-06-25 12:35:00,Changchun Yatai,Qingdao West Coast FC,2.15,1.6
Topbet11,2025-06-25 12:35:00,Changchun Yatai,Qingdao West Coast FC,2.45,1.37
Planetwin8,2025-06-25 12:35:00,Changchun,Qingdao West Coast,2.1,1.66
Volcano562,2025-06-25 12:35:00,Changchun Yatai,Qingdao West Coast,2.07,1.65
Mozzart10,2025-06-25 12:35:00,Changchun,Qingdao WC,2.14,1.6
Mystake543,2025-06-25 12:35:00,Changchun Yatai,Qingdao West Coast ,2.18,1.69
Soccer9,2025-06-25 12:35:00,Changchun Yatai,Qingdao West Coast,2.13,1.62
Pinbet9,2025-06-25 12:35:00,Changchun Yatai,Qingdao West Coast,2.08,1.66
Oktagon10,2025-06-25 12:35:00,Changchun Yatai,Qingdao West Coast,2.05,1.66
Betole10,2025-06-25 12:35:00,Changchun Yatai,Qingdao West Coast,2.03,1.65
