ID,vreme,domaci,gosti,GG,NG
Superbet262,2025-07-12 15:00:00,Brechin City,Falkirk,2.35,1.53
Mozzart137,2025-07-12 15:00:00,Brechin,Falkirk,2.2,1.6
Soccer127,2025-07-12 15:00:00,Brechin,Falkirk,2.5,1.47
Topbet109,2025-07-12 15:00:00,Brechin City FC,Falkirk FC,2.85,1.38
Balkan163,2025-07-12 15:00:00,Brechin City FC,Falkirk FC,2.45,1.47
Volcano26,2025-07-12 15:00:00,Brechin City,Falkirk,2.45,1.43
Betole168,2025-07-12 15:00:00,Brechin,Falkirk,2.55,1.43
Mystake305,2025-07-12 15:00:00,Brechin City,Falkirk,2.41,1.52
Oktagon166,2025-07-12 15:00:00,Brechin,Falkirk,2.55,1.42
Pinbet103,2025-07-12 15:00:00,Brechin,Falkirk,2.52,1.46
