ID,vreme,domaci,gosti,GG,NG
Oktagon126,2025-07-06 20:00:00,Joinville,Marcilio Dias,2.47,1.45
Soccer99,2025-07-06 20:00:00,Joinville,Marcilio Dias,2.35,1.53
Planetwin40,2025-07-06 20:00:00,Joinville,Marcilio Dias,3.01,1.31
Mozzart98,2025-07-06 20:00:00,Joinville ,Marcílio Dias,2.2,1.6
Superbet110,2025-07-06 20:00:00,Joinville,Marcilio Dias,2.35,1.53
Topbet100,2025-07-06 20:00:00,Joinville EC SC,CN Marcilio Dias SC,2.4,1.52
Volcano248,2025-07-06 20:00:00,Joinville,Marcilio Dias SC,2.45,1.45
Mystake132,2025-07-06 20:00:00,Joinville EC  ,Marcilio Dias,1.0,1.0
Betole126,2025-07-06 20:00:00,Joinville,Marcilio Dias,2.5,1.45
Balkan115,2025-07-06 20:00:00,Joinville EC SC,CN Marcilio Dias SC,2.45,1.45
