ID,vreme,domaci,gosti,GG,NG
Planetwin88,2025-06-27 19:45:00,Bohemians,Sligo,1.79,1.95
Soccer164,2025-06-27 19:45:00,Bohemians,Sligo,1.85,1.85
Betole236,2025-06-27 19:45:00,Bohemian,Sligo Rovers,1.81,1.91
Topbet151,2025-06-27 19:45:00,Bohemians Dublin FC,Sligo Rovers FC,1.85,1.85
Pinbet163,2025-06-27 19:45:00,Bohemians,Sligo Rovers,1.83,1.96
Superbet235,2025-06-27 19:45:00,Bohemians Dublin,Sligo Rovers,1.85,1.87
Mozzart173,2025-06-27 19:45:00,Bohemians D.,Sligo,1.75,1.95
Oktagon236,2025-06-27 19:45:00,Bohemian,Sligo Rovers,2.05,1.66
Balkan180,2025-06-27 19:45:00,Bohemians Dublin FC,Sligo Rovers FC,1.75,1.95
Mystake493,2025-06-27 19:45:00,Bohemians Dublin,Sligo Rovers,1.88,1.88
