ID,vreme,domaci,gosti,GG,NG
Balkan51,2025-07-13 14:30:00,AL Ansar SC,AL Tadamon Sour,1.0,1.0
Soccer37,2025-07-13 14:30:00,Al Ansar,Tadamon,2.22,1.58
Superbet46,2025-07-13 14:30:00,Al Ansar,Tadamon Sour,2.55,1.45
Mystake739,2025-07-13 14:30:00,AL Ansar,Tadamon Sour,2.53,1.46
Topbet38,2025-07-13 14:30:00,AL Ansar SC,AL Tadamon Sour,3.0,1.35
Betole43,2025-07-13 14:30:00,Al Ansar,Tadamon,2.2,1.57
Pinbet31,2025-07-13 14:30:00,Al Ansar,Tadamon,2.17,1.58
Mozzart29,2025-07-13 14:30:00,Al Ansar B.,Al Tadamon Sour,2.35,1.53
Oktagon43,2025-07-13 14:30:00,Al Ansar,Tadamon,2.18,1.57
Volcano378,2025-07-13 14:30:00,Al Ansar,Tadamon Sour,2.45,1.44
