ID,vreme,domaci,gosti,G II 0-1,G II 2+
Oktagon145,2025-07-06 17:00:00,Riga FC,BFC Daugavpils,1.0,13.75
Planetwin97,2025-07-06 17:00:00,Riga,Daugavapils,1.0,13.7
Soccer127,2025-07-06 17:00:00,Riga FC,BFC Daugavpils,1.0,14.6
Mystake546,2025-07-06 17:00:00,Riga,B Daugavpils,1.0,1.0
Balkan116,2025-07-06 17:00:00,Riga FC,BFC Daugavpils,1.0,11.95
Superbet156,2025-07-06 17:00:00,Riga FC,BFC Daugavpils,1.0,1.0
Topbet111,2025-07-06 17:00:00,Riga FC,BFC Daugavpils,1.0,22.0
Pinbet118,2025-07-06 17:00:00,Riga FC,BFC Daugavpils,1.0,1.0
Betole146,2025-07-06 17:00:00,Riga FC,BFC Daugavpils,1.0,1.0
Mozzart113,2025-07-06 17:00:00,Riga,BFC Daugavpils,1.05,8.0
Volcano631,2025-07-06 17:00:00,Riga FC,Daugavpils,1.0,1.0
