ID,vreme,domaci,gosti,1,X,2
Mozzart0,2025-07-05 22:00:00,EC Sao Jose,Guarany Bage,1.37,4.2,9.0
Planetwin2,2025-07-05 22:00:00,Sao Jose,Guarany de Bage,1.38,3.78,8.2
Topbet2,2025-07-05 22:00:00,EC Sao Jose RS,Guarany de Bage FC,1.48,3.7,6.9
Volcano100,2025-07-05 22:00:00,Sao Jose RS,Guarany de Bagé,1.43,3.65,7.25
Betole0,2025-07-05 22:00:00,EC Sao Jose,Guarany de Bage,1.55,3.3,6.1
Oktagon0,2025-07-05 22:00:00,EC Sao Jose,Guarany de Bage,1.56,3.3,6.1
Mystake112,2025-07-05 22:00:00,Sao Jose RS,Guarany  RS,1.35,3.95,7.85
Balkan3,2025-07-05 22:00:00,EC Sao Jose RS,Guarany de Bage FC,1.38,3.75,8.35
Superbet1,2025-07-05 22:00:00,Sao Jose RS,Guarany RS,1.49,3.7,6.3
Pinbet0,2025-07-05 22:00:00,EC Sao Jose,Guarany de Bage,1.57,3.35,6.4
Soccer0,2025-07-05 22:00:00,EC Sao Jose,Guarany de Bage,1.48,3.3,7.5
