ID,vreme,domaci,gosti,ug 0-1,ug 2+
Superbet3,2025-07-13 19:00:00,Alvarado,CA San Miguel,1.0,1.0
Oktagon0,2025-07-13 19:00:00,Alvarado,San Miguel,1.76,1.88
Mystake484,2025-07-13 19:00:00,CA Alvarado,San Miguel,1.0,1.0
Balkan1,2025-07-13 19:00:00,CA Alvarado,CA San Miguel,1.82,1.78
Mozzart6,2025-07-13 19:00:00,Alvarado,San MIguel,2.19,1.6
Betole0,2025-07-13 19:00:00,Alvarado,San Miguel,1.77,1.87
Pinbet18,2025-07-13 19:00:00,Alvarado,San Miguel,1.79,1.93
Planetwin6,2025-07-13 19:00:00,Alvarado,San Miguel,1.8,1.91
Soccer0,2025-07-13 19:00:00,Alvarado,San Miguel,1.85,1.85
Topbet2,2025-07-13 19:00:00,CA Alvarado,CA San Miguel,1.8,1.9
