ID,vreme,domaci,gosti,GG,NG
Topbet36,2025-07-13 17:00:00,Jordan,Singapore,1.0,1.0
Mystake62,2025-07-13 17:00:00,Jordan W.,Singapore W.,1.0,1.0
Oktagon35,2025-07-13 17:00:00,Jordan Wom.,Singapore Wom.,2.95,1.32
Balkan37,2025-07-13 17:00:00,Jordan,Singapore,2.45,1.5
Superbet37,2025-07-13 17:00:00,Jordan (W),Singapur (W),3.55,1.25
Betole40,2025-07-13 17:00:00,Jordan Wom.,Singapore Wom.,3.0,1.32
Pinbet34,2025-07-13 17:00:00,Jordan Wom.,Singapore W,4.1,1.22
Soccer33,2025-07-13 17:00:00,Jordan Wom.,Singapore Wom.,3.55,1.25
