ID,vreme,domaci,gosti,II 0-1,II 2+
Mystake138,2025-07-06 18:45:00,CEAC Araruama,America RJ,1.0,1.0
Betole103,2025-07-06 18:45:00,CEAC/Araruama,America RJ,1.24,3.55
Topbet78,2025-07-06 18:45:00,Araruama FC RJ,America FC RJ,1.27,3.55
Oktagon103,2025-07-06 18:45:00,CEAC/Araruama,America RJ,1.24,3.55
Pinbet78,2025-07-06 18:45:00,CEAC/Araruama,America RJ,1.0,1.0
Balkan98,2025-07-06 18:45:00,Araruama FC RJ,America FC RJ,1.29,3.05
Mozzart76,2025-07-06 18:45:00,Araruama,America RJ,1.41,2.7
Soccer82,2025-07-06 18:45:00,CEAC/Araruama,America RJ,1.29,3.25
Volcano491,2025-07-06 18:45:00,CEAC / Araruama,America RJ,1.0,1.0
Superbet84,2025-07-06 18:45:00,CEAC/Araruama,America RJ,1.0,1.0
