ID,vreme,domaci,gosti,1,X2
Superbet111,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.52,2.27
Betole129,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.5,2.3
Mystake128,2025-07-05 20:00:00,Inter de Limeira SP,Cascavel PR,1.5,2.35
Soccer88,2025-07-05 20:00:00,Internacional de Limeira,Cascavel,1.45,2.37
Oktagon128,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.91,1.76
Volcano779,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.49,2.35
Balkan119,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.5,2.25
Planetwin37,2025-07-05 20:00:00,Inter De Limeira,Cascavel,1.46,2.42
Topbet98,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.52,2.28
Mozzart81,2025-07-05 20:00:00,Internacional Limeira,Cascavel,1.5,2.41
