ID,vreme,domaci,gosti,ug 0-2,ug 3+
Soccer99,2025-07-06 20:00:00,Joinville,Marcilio Dias,1.33,3.0
Superbet110,2025-07-06 20:00:00,Joinville,Marcilio Dias,1.0,1.0
Planetwin40,2025-07-06 20:00:00,Joinville,Marcilio Dias,1.19,4.11
Mozzart98,2025-07-06 20:00:00,Joinville ,Marcílio Dias,1.41,2.7
Oktagon126,2025-07-06 20:00:00,Joinville,Marcilio Dias,1.33,3.0
Mystake132,2025-07-06 20:00:00,Joinville EC  ,Marcilio Dias,1.0,1.0
Betole126,2025-07-06 20:00:00,Joinville,Marcilio Dias,1.33,3.0
Topbet100,2025-07-06 20:00:00,Joinville EC SC,CN Marcilio Dias SC,1.38,2.9
Volcano248,2025-07-06 20:00:00,Joinville,Marcilio Dias SC,1.0,1.0
Balkan115,2025-07-06 20:00:00,Joinville EC SC,CN Marcilio Dias SC,1.27,3.1
