ID,vreme,domaci,gosti,GG,NG
Balkan13,2025-07-11 17:00:00,NK Brinje Grosuplje,FC Shakhtar Donetsk,1.6,2.1
Oktagon2,2025-07-11 17:00:00,Grosuplje,Shakhtar Donetsk,1.63,2.12
Mystake906,2025-07-11 17:00:00,Brinje Grosuplje,Shakhtar Donetsk,1.64,2.13
Soccer16,2025-07-11 17:00:00,Grosuplje,Shakhtar Donetsk,1.63,2.13
Betole10,2025-07-11 17:00:00,Grosuplje,Shakhtar Donetsk,1.6,2.2
Pinbet7,2025-07-11 17:00:00,Grosuplje,Shakhtar Donetsk,1.59,2.22
Topbet15,2025-07-11 17:00:00,NK Brinje Grosuplje,FC Shakhtar Donetsk,1.68,2.05
Superbet3,2025-07-11 17:00:00,Brinje Grosuplje,Shakhtar Donetsk,1.63,2.15
Mozzart3,2025-07-11 17:00:00,Brinje Grosuplje,Shakhtar,2.05,1.62
Volcano467,2025-07-11 17:00:00,NK Brinje Grosuplje,Shakhtar Donetsk,1.62,2.12
