ID,vreme,domaci,gosti,1,1-X2,X2-X2
Volcano809,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.49,1.0,1.0
Mozzart115,2025-07-05 20:00:00,Internacional Limeira,Cascavel,1.5,1.0,3.0
Betole166,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.5,16.0,2.55
Topbet127,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.52,19.0,2.7
Soccer128,2025-07-05 20:00:00,Internacional de Limeira,Cascavel,1.45,14.4,2.6
Planetwin45,2025-07-05 20:00:00,Inter De Limeira,Cascavel,1.46,1.0,1.0
Superbet147,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.52,1.0,1.0
Mystake133,2025-07-05 20:00:00,Inter de Limeira SP,Cascavel PR,1.5,1.0,1.0
Balkan155,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.5,1.0,1.0
Oktagon177,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.91,1.0,1.0
