ID,vreme,domaci,gosti,GG3+,ne GG3+
Topbet137,2025-07-13 20:00:00,Horizonte FC CE,Ferroviario AC CE,3.65,1.0
Balkan165,2025-07-13 20:00:00,Horizonte FC CE,Ferroviario AC CE,3.75,1.0
Oktagon168,2025-07-13 20:00:00,Horizonte,Ferroviario,5.1,1.0
Soccer138,2025-07-13 20:00:00,Horizonte,Ferroviario,3.55,1.0
Volcano710,2025-07-13 20:00:00,Horizonte FC CE,Ferroviario AC CE,4.65,1.0
Superbet157,2025-07-13 20:00:00,Horizonte CE,Ferroviario CE,3.5,1.26
Mystake168,2025-07-13 20:00:00,Horizonte CE,Ferroviario CE,1.0,1.0
Planetwin66,2025-07-13 20:00:00,Horizonte,Ferroviario,3.33,1.2
Betole168,2025-07-13 20:00:00,Horizonte,Ferroviario,5.2,1.08
