ID,vreme,domaci,gosti,I 0-1,I 2+
Mystake541,2025-07-12 07:30:00,Kingborough Lions,Launceston United,1.0,1.0
Betole153,2025-07-12 07:30:00,Kingborough Lions,Launceston United,2.5,1.43
Soccer115,2025-07-12 07:30:00,Kingborough Lions,Launceston United,2.5,1.47
Superbet143,2025-07-12 07:30:00,Kingborough Lions United,Launceston United,1.0,1.0
Volcano578,2025-07-12 07:30:00,Kingborough Lions,Launceston United,1.0,1.0
Balkan141,2025-07-12 07:30:00,Kingborough Lions United FC,Launceston United SC,3.45,1.25
Planetwin29,2025-07-12 07:30:00,Kingborough,Launceston Utd,1.0,1.0
Oktagon154,2025-07-12 07:30:00,Kingborough Lions,Launceston United,2.5,1.43
Mozzart102,2025-07-12 07:30:00,Kingborough Lions,Launceston United,1.0,1.0
