ID,vreme,domaci,gosti,1-1,ne 1-1
Betole56,2025-08-08 16:30:00,GBK Kokkola,Hercules,1.29,3.1
Merkur50,2025-08-08 16:30:00,GBK Kokkola,JS Hercules,1.3,3.1
Soccer42,2025-08-08 16:30:00,GBK Kokkola,Hercules,1.4,1.0
Topbet42,2025-08-08 16:30:00,GBK Kokkola,JS Hercules,1.52,1.0
Oktagon53,2025-08-08 16:30:00,GBK Kokkola,JS Hercules,1.28,1.0
Pinbet41,2025-08-08 16:30:00,GBK Kokkola,JS Hercules,1.0,1.0
