ID,vreme,domaci,gosti,ug 0-2,ug 3+
Oktagon6,2025-06-25 14:00:00,Orbit College,Cape Town City,1.27,3.35
Soccer4,2025-06-25 14:00:00,Orbit College,Cape Town City,1.28,3.35
Balkan4,2025-06-25 14:00:00,Orbit College FC,Cape Town City FC,1.32,3.1
Betole6,2025-06-25 14:00:00,Orbit College,Cape Town City,1.27,3.4
Pinbet0,2025-06-25 14:00:00,Orbit College,Cape Town City,1.3,3.45
Mystake639,2025-06-25 14:00:00,Orbit College ,Cape Town City,1.0,1.0
Volcano410,2025-06-25 14:00:00,Orbit College FC,Cape Town City,1.0,1.0
Planetwin0,2025-06-25 14:00:00,Orbit College,Cape Town City,1.25,3.34
Topbet6,2025-06-25 14:00:00,Orbit College FC,Cape Town City FC,1.3,3.45
Mozzart3,2025-06-25 14:00:00,Orbit College,Cape Town City FC,1.41,2.7
