ID,vreme,domaci,gosti,W1,W2
Pinbet43,2025-07-13 19:15:00,Ayacucho,Cienciano,2.78,1.34
Betole47,2025-07-13 19:15:00,Ayacucho,Cienciano,2.88,1.33
Oktagon47,2025-07-13 19:15:00,Ayacucho,Cienciano,2.9,1.34
Mystake251,2025-07-13 19:15:00,Ayacucho,CS Cienciano,2.57,1.45
Balkan47,2025-07-13 19:15:00,Ayacucho FC,CS Cienciano,2.85,1.35
Mozzart30,2025-07-13 19:15:00,Ayacucho,Cienciano,2.46,1.46
Topbet33,2025-07-13 19:15:00,Ayacucho FC,CS Cienciano,2.3,1.4
Superbet45,2025-07-13 19:15:00,Ayacucho,Cienciano,2.45,1.45
Planetwin16,2025-07-13 19:15:00,Ayacucho,Cienciano,2.12,1.62
Soccer36,2025-07-13 19:15:00,Ayacucho,Cienciano,2.4,1.41
