ID,vreme,domaci,gosti,GG,NG
Soccer36,2025-07-08 19:30:00,Stamford,Peterborough,3.0,1.34
Volcano227,2025-07-08 19:30:00,Stamford,Peterborough Utd.,3.2,1.27
Topbet30,2025-07-08 19:30:00,Stamford AFC,Peterborough United,2.5,1.48
Mozzart33,2025-07-08 19:30:00,Stamford,Peterborough,2.4,1.45
Superbet27,2025-07-08 19:30:00,Stamford,Peterborough United,2.82,1.38
Balkan31,2025-07-08 19:30:00,Stamford AFC,Peterborough United,2.65,1.36
Betole22,2025-07-08 19:30:00,Stamford,Peterborough,3.3,1.27
Mystake666,2025-07-08 19:30:00,Stamford,Peterborough United,2.82,1.38
Oktagon21,2025-07-08 19:30:00,Stamford,Peterborough,3.2,1.27
Pinbet34,2025-07-08 19:30:00,Stamford,Peterborough,3.05,1.31
