ID,vreme,domaci,gosti,1,X,2
Volcano624,2025-07-06 00:30:00,DC Utd.,Atlanta Utd.,2.45,3.5,2.55
Betole10,2025-07-06 00:30:00,DC United,Atlanta Utd,2.35,3.5,2.8
Balkan11,2025-07-06 00:30:00,DC United,Atlanta United FC,2.45,3.4,2.75
Pinbet10,2025-07-06 00:30:00,DC United,Atlanta Utd,2.35,3.65,2.85
Topbet8,2025-07-06 00:30:00,DC United,Atlanta United FC,2.4,3.5,2.81
Oktagon11,2025-07-06 00:30:00,DC United,Atlanta Utd,2.3,3.45,2.7
Superbet20,2025-07-06 00:30:00,DC United,Atlanta United,2.32,3.55,3.0
Planetwin12,2025-07-06 00:30:00,DC United,Atlanta Utd,2.6,3.52,2.62
Soccer10,2025-07-06 00:30:00,DC United,Atlanta Utd,2.45,3.6,2.65
Mystake256,2025-07-06 00:30:00,DC United,Atlanta United,2.45,3.5,2.75
Mozzart8,2025-07-06 00:30:00,D.C. United,Atlanta United,2.55,3.25,2.6
