ID,vreme,domaci,gosti,W1,W2
Volcano624,2025-07-06 00:30:00,DC Utd.,Atlanta Utd.,1.8,1.87
Betole10,2025-07-06 00:30:00,DC United,Atlanta Utd,1.73,1.97
Balkan11,2025-07-06 00:30:00,DC United,Atlanta United FC,1.75,2.0
Pinbet10,2025-07-06 00:30:00,DC United,Atlanta Utd,1.75,2.02
Topbet8,2025-07-06 00:30:00,DC United,Atlanta United FC,1.66,1.84
Oktagon11,2025-07-06 00:30:00,DC United,Atlanta Utd,1.71,1.98
Superbet20,2025-07-06 00:30:00,DC United,Atlanta United,1.68,2.15
Planetwin12,2025-07-06 00:30:00,DC United,Atlanta Utd,1.88,1.9
Soccer10,2025-07-06 00:30:00,DC United,Atlanta Utd,1.77,1.91
Mystake256,2025-07-06 00:30:00,DC United,Atlanta United,1.79,2.0
Mozzart8,2025-07-06 00:30:00,D.C. United,Atlanta United,1.8,1.84
