ID,vreme,domaci,gosti,1,X2
Mozzart118,2025-07-06 20:00:00,Joinville ,Marcílio Dias,2.3,1.55
Volcano250,2025-07-06 20:00:00,Joinville,Marcilio Dias SC,2.4,1.48
Planetwin65,2025-07-06 20:00:00,Joinville,Marcilio Dias,2.16,1.6
Topbet125,2025-07-06 20:00:00,Joinville EC SC,CN Marcilio Dias SC,2.35,1.47
Superbet141,2025-07-06 20:00:00,Joinville,Marcilio Dias,2.32,1.5
Mystake127,2025-07-06 20:00:00,Joinville EC  ,Marcilio Dias,2.25,1.52
Oktagon157,2025-07-06 20:00:00,Joinville,Marcilio Dias,2.4,1.48
Balkan151,2025-07-06 20:00:00,Joinville EC SC,CN Marcilio Dias SC,2.5,1.41
Soccer125,2025-07-06 20:00:00,Joinville,Marcilio Dias,2.3,1.48
Betole157,2025-07-06 20:00:00,Joinville,Marcilio Dias,2.77,1.36
