ID,vreme,domaci,gosti,D II 0-1,D II 2+
Soccer117,2025-08-08 18:30:00,Nacka Iliria,Taby,1.65,2.05
Mozzart127,2025-08-08 18:30:00,Nacka Iliria,Taby,1.36,2.65
